implementation,num_of_particles,steps,dt,total_runtime_s,interactions,interactions_per_s
naive,10,1,0.01,6.158300675451756e-05,90,1461442.1208558131
naive,10,5,0.01,0.0001773330004652962,450,2537598.7482265844
naive,10,10,0.01,0.0003405419993214309,900,2642845.821641247
naive,50,1,0.01,0.0007210840121842921,2450,3397662.3508521747
naive,50,5,0.01,0.003194542005076073,12250,3834665.4952525143
naive,50,10,0.01,0.006091500006732531,24500,4021997.861433436
naive,100,1,0.01,0.0021864169975742698,9900,4527956.017074327
naive,100,5,0.01,0.010309874996892177,49500,4801222.130716556
naive,100,10,0.01,0.018144708999898285,99000,5456136.000889018
naive,200,1,0.01,0.00650087499525398,39800,6122252.778134687
naive,200,5,0.01,0.029486416999134235,199000,6748870.166417403
naive,200,10,0.01,0.05652108299545944,398000,7041620.204481448
naive,500,1,0.01,0.035617250003269874,249500,7005032.673131542
naive,500,5,0.01,0.17771670799993444,1247500,7019598.855052279
naive,500,10,0.01,0.361384291012655,2495000,6904007.899758514
